Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
2/14/2021,Amazon.com,,2/16/2021,Shipped,$47.97 ,$0.00 ,$2.88 ,$0.00 ,$2.88 ,$50.85 ,PSF,
2/15/2021,Amazon.com,,2/19/2021,Shipped,$11.71 ,$0.00 ,$0.00 ,$1.76 ,$0.00 ,$9.95 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$10.77 ,$0.00 ,$0.54 ,$1.62 ,$0.54 ,$9.69 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$42.73 ,$0.00 ,$2.18 ,$10.41 ,$2.18 ,$34.50 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$9.54 ,$0.00 ,$0.00 ,$1.43 ,$0.00 ,$8.11 ,PSF,
2/16/2021,Amazon.com,,3/28/2021,Shipped,$6.76 ,$0.00 ,$0.00 ,$0.34 ,$0.00 ,$6.42 ,PSF,
2/18/2021,Amazon.com,,2/19/2021,Shipped,$4.99 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$5.29 ,PSF,
2/21/2021,Amazon.com,,3/28/2021,Shipped,$10.49 ,$0.00 ,$0.54 ,$1.57 ,$0.54 ,$9.46 ,PSF,
2/22/2021,Amazon.com,,2/22/2021,Shipped,$7.84 ,$0.00 ,$0.47 ,$0.00 ,$0.47 ,$8.31 ,PSF,
2/22/2021,Amazon.com,,2/22/2021,Shipped,$2.25 ,$0.00 ,$0.14 ,$0.00 ,$0.14 ,$2.39 ,PSF,
2/23/2021,Amazon.com,,2/25/2021,Shipped,$22.99 ,$0.00 ,$1.31 ,$1.15 ,$1.31 ,$23.15 ,PSF,
2/24/2021,Amazon.com,,2/26/2021,Shipped,$29.99 ,$0.00 ,$1.80 ,$0.00 ,$1.80 ,$31.79 ,PSF,
2/26/2021,Amazon.com,,2/26/2021,Shipped,$19.78 ,$0.00 ,$1.18 ,$0.00 ,$1.18 ,$20.96 ,PSF,
2/27/2021,Amazon.com,,2/27/2021,Shipped,$160.86 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$160.86 ,PSF,
3/1/2021,Amazon.com,,3/3/2021,Shipped,$59.57 ,$0.00 ,$3.50 ,$1.35 ,$3.50 ,$61.72 ,PSF,
3/1/2021,Amazon.com,,3/3/2021,Shipped,$24.99 ,$0.00 ,$1.50 ,$0.00 ,$1.50 ,$26.49 ,PSF,
3/1/2021,Amazon.com,,3/2/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
3/1/2021,Amazon.com,,3/4/2021,Shipped,$26.99 ,$0.00 ,$1.50 ,$2.00 ,$1.50 ,$26.49 ,PSF,
3/5/2021,Amazon.com,,3/29/2021,Shipped,$12.88 ,$0.00 ,$0.00 ,$1.93 ,$0.00 ,$10.95 ,PSF,
3/5/2021,Amazon.com,,3/6/2021,Shipped,$27.98 ,$0.00 ,$1.68 ,$0.00 ,$1.68 ,$29.66 ,PSF,
3/5/2021,Amazon.com,,3/8/2021,Shipped,$13.94 ,$0.00 ,$0.84 ,$0.00 ,$0.84 ,$14.78 ,PSF,
3/5/2021,Amazon.com,,3/8/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
3/6/2021,Amazon.com,,3/28/2021,Shipped,$9.92 ,$0.00 ,$0.57 ,$0.50 ,$0.57 ,$9.99 ,PSF,
3/6/2021,Amazon.com,,3/27/2021,Shipped,$11.47 ,$0.00 ,$0.00 ,$1.72 ,$0.00 ,$9.75 ,PSF,
3/6/2021,Amazon.com,,3/28/2021,Shipped,$19.95 ,$0.00 ,$0.00 ,$3.00 ,$0.00 ,$16.95 ,PSF,
3/6/2021,Amazon.com,,3/8/2021,Shipped,$104.23 ,$0.00 ,$6.25 ,$0.00 ,$6.25 ,$110.48 ,PSF,
3/6/2021,Amazon.com,,3/28/2021,Shipped,$14.99 ,$0.00 ,$0.00 ,$1.50 ,$0.00 ,$13.49 ,PSF,
3/6/2021,Amazon.com,,3/28/2021,Shipped,$24.18 ,$0.00 ,$1.23 ,$3.63 ,$1.23 ,$21.78 ,PSF,
3/6/2021,Amazon.com,,3/28/2021,Shipped,$6.79 ,$0.00 ,$0.35 ,$1.02 ,$0.35 ,$6.12 ,PSF,
3/7/2021,Amazon.com,,3/12/2021,Shipped,$89.90 ,$0.00 ,$5.40 ,$0.00 ,$5.40 ,$95.30 ,PSF,
3/8/2021,Amazon.com,,3/28/2021,Shipped,$6.98 ,$0.00 ,$0.36 ,$1.05 ,$0.36 ,$6.29 ,PSF,
3/9/2021,Amazon.com,,3/12/2021,Shipped,$110.39 ,$0.00 ,$6.63 ,$0.00 ,$6.63 ,$117.02 ,PSF,
